"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Number Missing","Total Dead and Missing","Number of survivors","Number of Female","Number of Male","Number of Children","Cause of death","Location Description","Information Source","Location","Information Reliability","Migrant Route","URL","UNSD Geographical Grouping"
"43187","Horn of Africa","March 31, 2016","2016","Mar","1","","1","","","","","","Jilib , Somalia","Regional Mixed Migration Secretariat","0.493016100000, 42.772682900000","Partially verified","","","Eastern Africa"
"42767","US-Mexico Border","March 30, 2016","2016","Mar","1","","1","","","1","","","Mexico-US border, Santa Cruz County, Arizona","canalestrellatv","31.364901400000, -111.067138900000","Partially verified","","http://bit.ly/2gDN5Ub",""
"42948","Mediterranean","March 30, 2016","2016","Mar","","90","90","30","","","","Drowning","near Sabratha, Libya","Reuters, IOM Italy","32.770354400000, 12.376176000000","Partially verified","Central Mediterranean","http://reut.rs/1RrLT2f","Uncategorized"
"43185","North Africa","March 29, 2016","2016","Mar","3","","3","","","","","","Aswan desert, Egypt","Regional Mixed Migration Secretariat","23.459686000000, 30.665449400000","Partially verified","","","Northern Africa"
"42514","Middle East","March 28, 2016","2016","Mar","1","","1","","","1","","Excessive Physical Abuse","Syrian/Turkish border, Ain al-Kawakh near the Khurbat al-Juz-Güveççi border crossing","Human Rights Watch","36.732184400000, 36.613272300000","Partially verified","","http://bit.ly/1Wm8lNP","Western Asia"
"42960","Mediterranean","March 28, 2016","2016","Mar","","84","84","1","","","","Drowning","off the coast of Libya","IOM Italy","33.416533100000, 16.230191400000","Verified","Central Mediterranean","","Uncategorized"
"42501","US-Mexico Border","March 27, 2016","2016","Mar","1","","1","","","","","Unknown","ranch in Falfurrias, Hidalgo County, Texas","La Tarde","26.376354000000, -98.383347700000","Partially verified","","http://bit.ly/1VDljEC","Northern America"
"42421","US-Mexico Border","March 26, 2016","2016","Mar","1","","1","","","1","","Drowning","Rio Grande, Hidalgo County, Texas","Valley Central","26.376354000000, -98.383347700000","Partially verified","","http://bit.ly/1qrM6bn","Northern America"
"42520","Mediterranean","March 26, 2016","2016","Mar","12","","12","","","","","Drowning","bodies found on coast of Garabulli, Libya","Ultime Notizie","32.791242000000, 13.702657400000","Partially verified","Central Mediterranean","http://bit.ly/1XVYFqj","Uncategorized"
"42826","Central America","March 25, 2016","2016","Mar","1","","1","","","1","","Unknown","San Francisco de los Romo, Aguascaliente, Mexico","El Circo","22.074187600000, -102.277884000000","Partially verified","","http://bit.ly/2m2CSAq, http://bit.ly/2lV5lsI","Central America"
"42470","US-Mexico Border","March 24, 2016","2016","Mar","1","","1","","","1","","Vehicle Accident","Yuma, Arizona","El Bravo","32.605602700000, -114.712142500000","Partially verified","","http://bit.ly/1qtWn6H","Northern America"
"42561","Middle East","March 24, 2016","2016","Mar","1","","1","","1","","","","Syrian/Turkish border near northern Aleppo province","Syrian Observatory for Human Rights","36.747849600000, 36.575696700000","Partially verified","","http://bit.ly/28Nnkxe","Western Asia"
"43184","North Africa","March 24, 2016","2016","Mar","2","","2","","","","","","Wadi Halfa in the desert, Sudan","Regional Mixed Migration Secretariat","21.824075900000, 31.260625300000","Partially verified","","","Northern Africa"
"42406","Europe","March 23, 2016","2016","Mar","2","","2","","","2","","","Malko Tarnovo, Bulgaria (near border with Turkey)","AFP","41.973614900000, 27.526430000000","Partially verified","Western Balkans","http://bit.ly/1LIXgT1","Eastern Europe"
"43183","Central America","March 22, 2016","2016","Mar","1","","1","1","","1","","","Near El Ceibo, on federal highway El Ceibo-Tenosique, Mexico","La 72","17.264992800000, -91.002462500000","Partially verified","","","Central America"
"42438","Mediterranean","March 21, 2016","2016","Mar","1","","1","","","1","1","","San Giovanni di Dio Hospital, Cagliari, Italy","La Nuova","39.196440300000, 9.105426900000","Partially verified","Central Mediterranean","http://bit.ly/21Ipa3i","Uncategorized"
"42477","Central America","March 21, 2016","2016","Mar","1","","1","","","1","","","Km 389 on state highway Manlio Fabio Altamirando, Soledad de Doblado, Mexico","TV Noticias La Pacoyan","19.045963400000, -96.430366800000","Partially verified","","http://bit.ly/1ScFQPn","Central America"
"42431","US-Mexico Border","March 20, 2016","2016","Mar","1","","1","","1","","","Unknown","near Border Patrol Checkpoint in Sarita, Kenedy County, Texas, USA","KrisTV","26.940382100000, -97.918176800000","Partially verified","","http://bit.ly/1Zqk0JF","Northern America"
"42432","US-Mexico Border","March 20, 2016","2016","Mar","1","","1","","","","","Unknown","in Riviera, Kleberg County, Texas","KrisTV","27.421455700000, -97.851636900000","Partially verified","","http://bit.ly/1Zqk0JF","Northern America"
"42433","US-Mexico Border","March 20, 2016","2016","Mar","1","","1","","","","","Drowning","Canal in Mission, Hidalgo County, Texas","KrisTV","26.376354000000, -98.383347700000","Partially verified","","http://bit.ly/1Zqk0JF","Northern America"
"42450","Mediterranean","March 20, 2016","2016","Mar","","4","4","","","","","Unknown","boat arrived in Lampedusa","IOM Italy","35.497698500000, 12.602115300000","Partially verified","Central Mediterranean","http://bit.ly/1LDGIf9","Uncategorized"
"42476","Mediterranean","March 20, 2016","2016","Mar","2","","2","40","2","","2","","off the coast of Ro, Greece","IOM Greece","36.155277800000, 29.495033500000","Partially verified","Eastern Mediterranean","http://bit.ly/1Rw4rtE","Uncategorized"
"42482","Central America","March 20, 2016","2016","Mar","1","","1","","","1","","Hit by train","on the Manlio Fabio Altamirano highway, Soledad de Doblado, Mexico","Imagen de Veracruz","19.056247700000, -96.381484400000","Partially verified","","http://bit.ly/1swUOX2","Central America"
"42508","Mediterranean","March 20, 2016","2016","Mar","2","","2","","","2","","","Lesvos Island, Greece","IOM Greece","39.175649100000, 25.943524000000","Partially verified","Eastern Mediterranean","http://bit.ly/1WBT5bT","Uncategorized"
"42513","Middle East","March 20, 2016","2016","Mar","1","","1","","","1","","","Syrian/Turkish border, Khurbat al-Juz-Güveççi border crossing","Human Rights Watch","36.703737700000, 36.623072100000","Partially verified","","http://bit.ly/1Wm8lNP","Western Asia"
"42927","US-Mexico Border","March 20, 2016","2016","Mar","1","","1","","","1","","Unknown (skeletal remains)","Pima County Jurisdiction","Pima County Office of the Medical Examiner","31.965203600000, -113.011894500000","Partially verified","","http://www.humaneborders.info/app/map.asp","Northern America"
"43165","North Africa","March 20, 2016","2016","Mar","3","","3","","","","","","Khartoum, Sudan","Regional Mixed Migration Secretariat","15.501534100000, 32.502556100000","Partially verified","","","Northern Africa"
"43166","North Africa","March 20, 2016","2016","Mar","2","","2","","","","","","Gedharif (Al Qadarif), Sudan","Regional Mixed Migration Secretariat","14.031672200000, 35.341772300000","Partially verified","","","Northern Africa"
"43167","North Africa","March 20, 2016","2016","Mar","5","","5","","","","","","Sinai desert, Egypt","Regional Mixed Migration Secretariat","30.609673800000, 32.899326600000","Partially verified","","","Northern Africa"
"43168","North Africa","March 20, 2016","2016","Mar","1","","1","","","","","","Desert near Aswan, Egypt","Regional Mixed Migration Secretariat","23.459686000000, 30.665449400000","Partially verified","","","Northern Africa"
"43169","North Africa","March 20, 2016","2016","Mar","2","","2","","","","","","Qadarif (Al Qadarif), Sudan","Regional Mixed Migration Secretariat","14.031672200000, 35.341772300000","Partially verified","","","Northern Africa"
"43170","North Africa","March 20, 2016","2016","Mar","21","","21","","","","","","Kufrah, Libya","Regional Mixed Migration Secretariat","23.248841300000, 19.724216100000","Partially verified","","","Northern Africa"
"43171","North Africa","March 20, 2016","2016","Mar","2","","2","","","","","","Nyali (Nyala), Sudan","Regional Mixed Migration Secretariat","12.052156400000, 24.874462400000","Partially verified","","","Northern Africa"
"43172","North Africa","March 20, 2016","2016","Mar","3","","3","","","","","","Sabha, Libya","Regional Mixed Migration Secretariat","27.029507800000, 14.389083500000","Partially verified","","","Northern Africa"
"43173","North Africa","March 20, 2016","2016","Mar","1","","1","","","","","","Nyala, Sudan","Regional Mixed Migration Secretariat","12.052156400000, 24.874462400000","Partially verified","","","Northern Africa"
"43174","North Africa","March 20, 2016","2016","Mar","11","","11","","","","","","Kufrah, Libya","Regional Mixed Migration Secretariat","23.248841300000, 19.724216100000","Partially verified","","","Northern Africa"
"43175","North Africa","March 20, 2016","2016","Mar","5","","5","","","","","","Khartoum, Sudan","Regional Mixed Migration Secretariat","15.501534100000, 32.502556100000","Partially verified","","","Northern Africa"
"43176","North Africa","March 20, 2016","2016","Mar","2","","2","","","","","","Qalabat, Sudan","Regional Mixed Migration Secretariat","13.973173700000, 35.343169100000","Partially verified","","","Northern Africa"
"43177","North Africa","March 20, 2016","2016","Mar","2","","2","","","","","Starvation","Qadarif (Al Qadarif), Sudan","Regional Mixed Migration Secretariat","14.031672200000, 35.341772300000","Partially verified","","","Northern Africa"
"43178","North Africa","March 20, 2016","2016","Mar","10","","10","","","","","","Kufrah, Libya","Regional Mixed Migration Secretariat","23.248841300000, 19.724216100000","Partially verified","","","Northern Africa"
"43179","North Africa","March 20, 2016","2016","Mar","1","","1","","","","","","Ajdabiya, Libya","Regional Mixed Migration Secretariat","30.272374300000, 19.074105200000","Partially verified","","","Northern Africa"
"43180","North Africa","March 20, 2016","2016","Mar","1","","1","","","","","","Qalabat, Sudan","Regional Mixed Migration Secretariat","13.973173700000, 35.343169100000","Partially verified","","","Northern Africa"
"43181","North Africa","March 20, 2016","2016","Mar","3","","3","","","","","Starvation","Sabha, Libya","Regional Mixed Migration Secretariat","27.029507800000, 14.389083500000","Partially verified","","","Northern Africa"
"43182","North Africa","March 20, 2016","2016","Mar","8","","8","","","","","","Kufrah, Libya","Regional Mixed Migration Secretariat","23.248841300000, 19.724216100000","Partially verified","","","Northern Africa"
"42451","Mediterranean","March 19, 2016","2016","Mar","51","","51","","","","","Drowning","Near the port of Zawiya, west of Tripoli","AFP via new Straits Times","32.884351900000, 13.150722800000","Partially verified","Central Mediterranean","http://bit.ly/1MwM2M1","Uncategorized"
"42454","US-Mexico Border","March 19, 2016","2016","Mar","1","","1","","","1","","","Crossing I-35 near Austin, Texas","South Austin Patch, Guanajuato Informa","30.306258900000, -97.839848500000","Partially verified","","http://bit.ly/1NwLDda, http://bit.ly/1Ni03D7","Northern America"
"42468","Central America","March 19, 2016","2016","Mar","1","","1","","","1","","","Train tracks in Ejido Espinazo, Mina, Nuevo Leon, Mexico","Multimedios","26.003366800000, -100.538670800000","Partially verified","","http://bit.ly/1Qh8x87","Central America"
"42469","Central America","March 19, 2016","2016","Mar","1","","1","","","1","","","near train tracks in Ejido Espinazo, Mina, Nuevo Leon, Mexico","Telediario","26.269030700000, -101.112897500000","Partially verified","","http://bit.ly/1Qh8x87","Central America"
"42837","Central America","March 19, 2016","2016","Mar","1","","1","","","1","","Hit by train","Train tracks, Guadalajara, Jalisco, Mexico","Trafico ZMG","20.129511000000, -104.468201400000","Partially verified","","http://bit.ly/2o4Yi4j","Central America"
"42864","Caribbean","March 19, 2016","2016","Mar","9","","9","18","","","","","130 miles west of Marco Island, off southwest Florida","The Star","25.931207500000, -81.717087800000","Partially verified","","http://on.thestar.com/1T3VVaU","Caribbean"
"42959","Mediterranean","March 19, 2016","2016","Mar","","","0","","","","","Drowning","","IOM Italy","33.058823123634, 17.165613325000","Partially verified","Central Mediterranean","","Uncategorized"
"43164","North Africa","March 19, 2016","2016","Mar","1","","1","","","","","","At the Sudanese Libyan border, Sudan","Regional Mixed Migration Secretariat","20.670675600000, 24.074248000000","Partially verified","","","Northern Africa"
"42926","US-Mexico Border","March 18, 2016","2016","Mar","1","","1","","","1","","Unknown (skeletal remains)","Pima County Jurisdiction","Pima County Office of the Medical Examiner","31.965203600000, -113.011894500000","Partially verified","","http://www.humaneborders.info/app/map.asp","Northern America"
"42493","Mediterranean","March 17, 2016","2016","Mar","4","","4","187","","","","Burned","near the coast of Sabantha, 65km west of Triopli","Xinhua","32.800530200000, 12.517970700000","Partially verified","Central Mediterranean","http://bit.ly/1UmcCPJ","Uncategorized"
"43150","Horn of Africa","March 17, 2016","2016","Mar","1","","1","","","","","","In Berbera, Somalia","Regional Mixed Migration Secretariat","10.432537300000, 44.994641500000","Partially verified","","","Eastern Africa"
"43151","Horn of Africa","March 17, 2016","2016","Mar","1","","1","","","","","","Matama , Ethiopia","Regional Mixed Migration Secretariat","12.994478700000, 36.182405400000","Partially verified","","","Eastern Africa"
"43152","North Africa","March 17, 2016","2016","Mar","6","","6","","","","","","Qadarif (Al Qadarif), Sudan","Regional Mixed Migration Secretariat","14.031672200000, 35.341772300000","Partially verified","","","Northern Africa"
"43153","North Africa","March 17, 2016","2016","Mar","11","","11","","","","","","Kufrah, Libya","Regional Mixed Migration Secretariat","23.248841300000, 19.724216100000","Partially verified","","","Northern Africa"
"43154","North Africa","March 17, 2016","2016","Mar","1","","1","","","","","Starvation","Nyali (Nyala), Sudan","Regional Mixed Migration Secretariat","12.052156400000, 24.874462400000","Partially verified","","","Northern Africa"
"43155","North Africa","March 17, 2016","2016","Mar","20","","20","","","","","","Kufrah, Libya","Regional Mixed Migration Secretariat","23.248841300000, 19.724216100000","Partially verified","","","Northern Africa"
"43156","North Africa","March 17, 2016","2016","Mar","1","","1","","","","","","Nyala, Sudan","Regional Mixed Migration Secretariat","12.052156400000, 24.874462400000","Partially verified","","","Northern Africa"
"43157","North Africa","March 17, 2016","2016","Mar","5","","5","","","","","","Sabha, Libya","Regional Mixed Migration Secretariat","27.029507800000, 14.389083500000","Partially verified","","","Northern Africa"
"43158","North Africa","March 17, 2016","2016","Mar","1","","1","","","","","Suffocation","Khartoum, Sudan","Regional Mixed Migration Secretariat","15.501534100000, 32.502556100000","Partially verified","","","Northern Africa"
"43159","North Africa","March 17, 2016","2016","Mar","3","","3","","","","","","Kufrah, Libya","Regional Mixed Migration Secretariat","23.248841300000, 19.724216100000","Partially verified","","","Northern Africa"
"43160","Horn of Africa","March 17, 2016","2016","Mar","1","","1","","","","","","Near the Southwest border with Sudan and Eritrea","Regional Mixed Migration Secretariat","14.801940600000, 36.070220600000","Partially verified","","","Northern Africa"
"43161","North Africa","March 17, 2016","2016","Mar","2","","2","","","","","","In the Sahara desert near Abusanbal Abu Simbel, Egypt","Regional Mixed Migration Secretariat","22.390154600000, 31.551211600000","Partially verified","","","Northern Africa"
"43162","North Africa","March 17, 2016","2016","Mar","6","","6","","","","","","In the Sahara desert near Aswan, Egypt","Regional Mixed Migration Secretariat","23.459686000000, 30.665449400000","Partially verified","","","Northern Africa"
"43163","North Africa","March 17, 2016","2016","Mar","9","","9","","","","","","In the Sahara desert near to Atbara, Sudan","Regional Mixed Migration Secretariat","17.723668500000, 33.805597800000","Partially verified","","","Northern Africa"
"42586","Central America","March 16, 2016","2016","Mar","1","","1","","1","","1","Vehicle Accident","On Highway 57 near Los Chorros, Coahuila, Mexico","Zocalo Saltillo","25.381356100000, -100.790983400000","Partially verified","","http://bit.ly/28YRuhD","Central America"
"42940","Mediterranean","March 16, 2016","2016","Mar","3","","3","750","","","","","off of the coast of Libya en route to Italy","AFP, Reuters","33.416533100000, 16.230191400000","Partially verified","Central Mediterranean","http://yhoo.it/1Xx3mGK, http://reut.rs/1nQqu6E","Uncategorized"
"43149","North Africa","March 15, 2016","2016","Mar","1","","1","","","","","","At the desert near Berber, Sudan","Regional Mixed Migration Secretariat","18.026728400000, 33.975176600000","Partially verified","","","Northern Africa"
"42429","Central America","March 14, 2016","2016","Mar","1","","1","","","1","","Train Accident","Chiapas, Mexico","Desaparecidos y sin reclamar en la frontera via Facebook","16.474502000000, -93.253481100000","Partially verified","","http://bit.ly/1Y1Gsre","Central America"
"42460","Mediterranean","March 14, 2016","2016","Mar","","8","8","5","","","","Drowning","near Kos, Greece","AFP, IOM Greece","36.910782100000, 27.282852300000","Partially verified","Eastern Mediterranean","http://bit.ly/1pIxswi","Uncategorized"
"42488","US-Mexico Border","March 14, 2016","2016","Mar","1","","1","","","1","","Drowning","Near the All American Canal, Imperial County, Baja California","La Voz de la Frontera","32.704147900000, -115.061691200000","Partially verified","","http://bit.ly/1U0WZNQ","Northern America"
"42950","Europe","March 14, 2016","2016","Mar","3","","3","23","1","2","","Drowning","Suva Seka River near Gevgelija, near Greek-Macedonian border","Reuters, Wall Street Journal","41.134741800000, 22.501628200000","Partially verified","Western Balkans","http://reut.rs/1UsRfed, http://on.wsj.com/1YRFCy7","Southern Europe"
"43146","Horn of Africa","March 14, 2016","2016","Mar","1","","1","","","","","","Near Garowe (Garoowe), Somalia","Regional Mixed Migration Secretariat","8.406657900000, 48.471357700000","Partially verified","","","Eastern Africa"
"43147","North Africa","March 14, 2016","2016","Mar","1","","1","","","","","","Unduraman, Sudan","Regional Mixed Migration Secretariat","15.627130900000, 32.300655700000","Partially verified","","","Northern Africa"
"43148","North Africa","March 14, 2016","2016","Mar","1","","1","","","","","","In the Sahara desert near to Abu Simbel, Egypt","Regional Mixed Migration Secretariat","22.390154600000, 31.551211600000","Partially verified","","","Northern Africa"
"42504","Central America","March 13, 2016","2016","Mar","1","","1","","","1","","Hit by train","Near Apizaco in Tlaxcala, Mexico","Twitter and Chanel 6","19.416779800000, -98.447110200000","Partially verified","","http://bit.ly/1VMd8pJ, http://bit.ly/23o72Su","Central America"
"42560","Middle East","March 13, 2016","2016","Mar","1","","1","","","","1","","Syrian/Turkish border, likely in Aleppo province","Syrian Observatory for Human Rights","36.423746000000, 36.574443600000","Partially verified","","http://bit.ly/28Nnkxe","Western Asia"
"42559","Middle East","March 12, 2016","2016","Mar","1","","1","","","1","","","Syrian/Turkish border near northern Deir Ezzor province","Syrian Observatory for Human Rights","36.718882500000, 39.488952400000","Partially verified","","http://bit.ly/28Nnkxe","Western Asia"
"42655","Mediterranean","March 12, 2016","2016","Mar","1","","1","","","","1","Drowning","Harbor of Melilla, Spain","Asociacion Pro Derechos Humanos de Andalucia","35.286270300000, -2.950878100000","Partially verified","Western Mediterranean","http://bit.ly/2bcfj7V","Uncategorized"
"43145","North Africa","March 12, 2016","2016","Mar","1","","1","","","","","","Atbara, Sudan","Regional Mixed Migration Secretariat","17.692227100000, 33.976249200000","Partially verified","","","Northern Africa"
"42558","Middle East","March 11, 2016","2016","Mar","1","","1","","","1","","","Syrian/Turkish border near Aleppo province","Syrian Observatory for Human Rights","36.681792000000, 36.623154000000","Partially verified","","http://bit.ly/28Nnkxe","Western Asia"
"42949","Europe","March 11, 2016","2016","Mar","1","","1","","","1","1","","train tracks near German-Austrian border","Reuters","48.457552000000, 13.432637000000","Partially verified","","http://reut.rs/1RUFHye","Western Europe"
"42439","Mediterranean","March 10, 2016","2016","Mar","5","2","7","9","","","3","Drowning","off the coast of Ayvacik, Canakkale en route to Lesvos, Greece","Hurriyet Daily News","39.490208500000, 26.393246100000","Partially verified","Eastern Mediterranean","http://bit.ly/2252uML","Uncategorized"
"42534","Central America","March 10, 2016","2016","Mar","1","","1","","","1","","Asphyxiation","Cantera de Villagrán in Tepeji del Río de Ocampo, Hidalgo, Mexico","La Region","19.893747900000, -99.430004800000","Partially verified","","http://bit.ly/24VHHKS","Central America"
"42420","US-Mexico Border","March 08, 2016","2016","Mar","1","","1","","","1","","Drowning","in the Rio Grande 1.5 miles from South 15th street, Hidalgo County, Texas","Valley Central","26.376354000000, -98.383347700000","Partially verified","","http://bit.ly/1qrM6bn","Northern America"
"42557","Middle East","March 08, 2016","2016","Mar","1","","1","","","1","1","","Syrian/Turkish border near northern Deir Ezzor province","Syrian Observatory for Human Rights","36.718882500000, 39.488952400000","Partially verified","","http://bit.ly/28Nnkxe","Western Asia"
"43142","North Africa","March 08, 2016","2016","Mar","1","","1","","","","","","Gedharif (Al Qadarif), Sudan","Regional Mixed Migration Secretariat","14.031672200000, 35.341772300000","Partially verified","","","Northern Africa"
"43143","Horn of Africa","March 08, 2016","2016","Mar","1","","1","","","","","","Near Bali (Bale), Ethiopia","Regional Mixed Migration Secretariat","6.734966600000, 39.724021900000","Partially verified","","","Eastern Africa"
"43144","North Africa","March 08, 2016","2016","Mar","1","","1","","","","","","Aswan, Egypt","Regional Mixed Migration Secretariat","23.285107000000, 31.520455700000","Partially verified","","","Northern Africa"
"42924","US-Mexico Border","March 07, 2016","2016","Mar","1","","1","","","1","","","Pima County Jurisdiction","Pima County Office of the Medical Examiner","31.965203600000, -113.011894500000","Partially verified","","http://www.humaneborders.info/app/map.asp","Northern America"
"42925","US-Mexico Border","March 07, 2016","2016","Mar","1","","1","","","1","","Unknown","Pima County Jurisdiction","Pima County Office of the Medical Examiner","31.965203600000, -113.011894500000","Partially verified","","http://www.humaneborders.info/app/map.asp","Northern America"
"43141","North Africa","March 07, 2016","2016","Mar","2","","2","","","","","","In the Sahara desert of Aswan, Egypt","Regional Mixed Migration Secretariat","23.459686000000, 30.665449400000","Partially verified","","","Northern Africa"
"42403","Mediterranean","March 06, 2016","2016","Mar","25","","25","15","","","10","Drowning","off the coast of Didim, Aydin, Turkey, likely en route to Farmakonisi, Greece","AP, BBC","37.341163938766, 27.237263179687","Partially verified","Eastern Mediterranean","http://abcn.ws/1L932wQ, http://bbc.in/1LKdg6K","Uncategorized"
"42923","US-Mexico Border","March 06, 2016","2016","Mar","1","","1","","","1","","Unknown (skeletal remains)","Pima County Jurisdiction","Pima County Office of the Medical Examiner","31.965203600000, -113.011894500000","Partially verified","","http://www.humaneborders.info/app/map.asp","Northern America"
"43140","North Africa","March 05, 2016","2016","Mar","3","","3","","","","","","Khartoum, Sudan","Regional Mixed Migration Secretariat","15.501534100000, 32.502556100000","Partially verified","","","Northern Africa"
"43035","Mediterranean","March 04, 2016","2016","Mar","","20","20","","2","","","Unknown","Near Almería, Spain","Asociacion Pro Derechos Humanos de Andalucia","36.841526800000, -2.474626200000","Partially verified","Western Mediterranean","","Uncategorized"
"42921","US-Mexico Border","March 03, 2016","2016","Mar","1","","1","","","1","","Unknown (skeletal remains)","Pima County Jurisdiction","Pima County Office of the Medical Examiner","31.965203600000, -113.011894500000","Partially verified","","http://www.humaneborders.info/app/map.asp","Northern America"
"42922","US-Mexico Border","March 03, 2016","2016","Mar","1","","1","","","1","","Unknown (skeletal remains)","Pima County Jurisdiction","Pima County Office of the Medical Examiner","31.965203600000, -113.011894500000","Partially verified","","http://www.humaneborders.info/app/map.asp","Northern America"
"42486","Sub-Saharan Africa","March 02, 2016","2016","Mar","3","","3","","","","","Drowning","M'Tsamboro, Mayotte, France","l'Info","-12.820932600000, 45.018986300000","Partially verified","","http://bit.ly/1TgfEUW","Eastern Africa"
"42953","Europe","March 02, 2016","2016","Mar","1","","1","","","1","","Unknown","Calais, France","Calais Prefecture","50.951880300000, 1.833936700000","Partially verified","","","Western Europe"
"43028","Mediterranean","March 02, 2016","2016","Mar","1","","1","","","1","1","Asphyxiation","Mytilene, Lesvos ","IOM Greece","39.097108100000, 26.547693300000","Partially verified","Eastern Mediterranean","","Uncategorized"
"42920","US-Mexico Border","March 01, 2016","2016","Mar","1","","1","","","1","","Unknown (skeletal remains)","Pima County Jurisdiction","Pima County Office of the Medical Examiner","31.965203600000, -113.011894500000","Partially verified","","http://www.humaneborders.info/app/map.asp","Northern America"
"43031","Horn of Africa","March 01, 2016","2016","Mar","4","","4","","","","","Drowning","Straits of Yemen","UNHCR","12.433975800000, 46.420758400000","Partially verified","Horn Africa to Yemen","","Eastern Africa"
"43139","North Africa","March 01, 2016","2016","Mar","2","","2","","","","","","At the desert, two days drive from khartoum, Sudan","Regional Mixed Migration Secretariat","15.350333700000, 32.437494900000","Partially verified","","","Northern Africa"
"43188","North Africa","March 01, 2016","2016","Mar","1","","1","","","","","Vehicle Accident","Sahara Desert, between Khartoum, Sudan and Tripoli, Libya","MHub","19.643823700000, 24.429326800000","Partially verified","","","Northern Africa"
"42422","US-Mexico Border","February 28, 2016","2016","Feb","1","","1","","","1","","Drowning","Rio Grande near Reynosa Diaz, Reynosa, Tamaulipas, Mexico","La Prensa Grafica","26.041738400000, -98.308436400000","Partially verified","","http://bit.ly/1RJAycg","Central America"
"42556","Middle East","February 28, 2016","2016","Feb","1","","1","","1","","","","Syrian/Turkish border near northern Deir Ezzor province","Syrian Observatory for Human Rights","36.718882500000, 39.488952400000","Partially verified","","http://bit.ly/28Nnkxe","Western Asia"
"42888","Middle East","February 27, 2016","2016","Feb","1","","1","","","1","","","Syrian/Turkish border near Qamishli, Al Hasaka, Syria","Action Group for Palestinians of Syria","36.504474100000, 40.708528000000","Partially verified","","http://www.actionpal.org.uk/","Western Asia"
"42418","US-Mexico Border","February 25, 2016","2016","Feb","1","","1","","","1","","Drowning","Mexican side of Rio Grande (Tamaulipas) near Juez de Paz, Rio Grande, Texas","Via Libre","26.327786500000, -98.724003800000","Partially verified","","http://bit.ly/1QG2T4a","Central America"
"42919","US-Mexico Border","February 23, 2016","2016","Feb","1","","1","","","1","","Unknown (skeletal remains)","Pima County Jurisdiction","Pima County Office of the Medical Examiner","31.965203600000, -113.011894500000","Partially verified","","http://www.humaneborders.info/app/map.asp","Northern America"
"42947","Mediterranean","February 23, 2016","2016","Feb","5","","5","403","3","2","","Asphyxiation","Unspecified location between Tunisia and Sicily","IOM Italy, Reuters","37.720242300000, 10.285804200000","Partially verified","Central Mediterranean","http://reut.rs/1QxlcEs","Uncategorized"
"42437","US-Mexico Border","February 21, 2016","2016","Feb","1","","1","","","1","","Unknown","On Mexican side of US-Mexico border near San Ysidro, California, Mexico","CBS8","32.534930300000, -117.041313800000","Partially verified","","http://bit.ly/20PLBTC","Central America"
"43118","North Africa","February 21, 2016","2016","Feb","1","","1","","","","","","Sahara Desert near Aswan, Egypt","Regional Mixed Migration Secretariat","21.906769500000, 30.822252900000","Partially verified","","","Northern Africa"
"43119","North Africa","February 21, 2016","2016","Feb","13","","13","","","","","","Kurfrah, Libya","Regional Mixed Migration Secretariat","23.248841300000, 19.724216100000","Partially verified","","","Northern Africa"
"43120","North Africa","February 21, 2016","2016","Feb","3","","3","","","","","","Qadarif, Sudan","Regional Mixed Migration Secretariat","14.031672200000, 35.341772300000","Partially verified","","","Northern Africa"
"43121","North Africa","February 21, 2016","2016","Feb","3","","3","","","","","","Kurfrah, Libya","Regional Mixed Migration Secretariat","23.248841300000, 19.724216100000","Partially verified","","","Northern Africa"
"43122","North Africa","February 21, 2016","2016","Feb","6","","6","","","","","","Kurfrah, Libya","Regional Mixed Migration Secretariat","23.248841300000, 19.724216100000","Partially verified","","","Northern Africa"
"43123","North Africa","February 21, 2016","2016","Feb","1","","1","","","","","Suffocation","Khartoum, Sudan","Regional Mixed Migration Secretariat","15.501534100000, 32.502556100000","Partially verified","","","Northern Africa"
"43124","North Africa","February 21, 2016","2016","Feb","10","","10","","","","","","Qadarif, Sudan","Regional Mixed Migration Secretariat","14.031672200000, 35.341772300000","Partially verified","","","Northern Africa"
"43125","North Africa","February 21, 2016","2016","Feb","2","","2","","","","","","Kurfrah, Libya","Regional Mixed Migration Secretariat","23.248841300000, 19.724216100000","Partially verified","","","Northern Africa"
"43126","North Africa","February 21, 2016","2016","Feb","1","","1","","","","","","Qalabat, Sudan","Regional Mixed Migration Secretariat","13.973173700000, 35.343169100000","Partially verified","","","Northern Africa"
"43127","North Africa","February 21, 2016","2016","Feb","30","","30","","","","","","Umm Al Aranib, Libya","Regional Mixed Migration Secretariat","26.139565200000, 14.726786600000","Partially verified","","","Northern Africa"
"43128","North Africa","February 21, 2016","2016","Feb","5","","5","","","","","","Khartoum, Sudan","Regional Mixed Migration Secretariat","15.501534100000, 32.502556100000","Partially verified","","","Northern Africa"
"43129","North Africa","February 21, 2016","2016","Feb","3","","3","","","","","","Kurfrah, Libya","Regional Mixed Migration Secretariat","23.248841300000, 19.724216100000","Partially verified","","","Northern Africa"
"43130","North Africa","February 21, 2016","2016","Feb","3","","3","","","","","","Kurfrah, Libya","Regional Mixed Migration Secretariat","23.248841300000, 19.724216100000","Partially verified","","","Northern Africa"
